,Ссылка,Подразделение,РИНЦ Author ID,SPIN,Scopus Author ID,Researher ID,ORCID ID,Профиль автора в РИНЦ,Профиль автора в Scopus,Профиль автора в Publons,Профиль автора в ORCID,Профиль автора в ResearchGate,Профиль автора в Google Scholar
181,/ru/glossary/z/zgurskaya_olga_grigorevna,каф русского языка и литературы,326274,2131-5624,Empty,2276068,0000-0002-4764-2102,https://elibrary.ru/author_items.asp?authorid=326274&pubrole=100&show_refs=1&show_option=0,https://www.scopus.com/results/authorNamesList.uri?sort=count-f&src=al&sid=3b651572a1cd169ece9ad36825e404a2&sot=al&sdt=al&sl=51&s=AUTHLASTNAME%28EQUALS%28Zgurskaya%29%29%20AND%20AUTHFIRST%28O.g.%29&st1=Zgurskaya&st2=O.g.&orcidId=&selectionPageSearch=anl&reselectAuthor=false&activeFlag=true&showDocument=false&resultsPerPage=20&offset=1&jtp=false&currentPage=1&previousSelectionCount=0&tooManySelections=false&previousResultCount=0&authSubject=SOSC&exactAuthorSearch=true&showFullList=false&authorPreferredName=&origin=searchauthorfreelookup&affiliationId=&txGid=26a420e18747eb8cc6099a0f8385728e,https://publons.com/researcher/2276068/olga-g-zgurskaya/,https://orcid.org/0000-0002-4764-2102,https://www.researchgate.net/profile/Olga_Zgurskaya,https://myaccount.google.com/?hl=en&pli=1
182,/ru/glossary/z/zibrov_dmitriy_anatolevich,каф иностранных языков,924214,3284-6646,Empty,3033220,Empty,https://elibrary.ru/author_items.asp?authorid=924214&pubrole=100&show_refs=1&show_option=0,Empty,https://publons.com/researcher/3033220/dmitrii-zibrov/,Empty,Empty,Empty
183,/ru/glossary/z/zlotnikov_evgeniy_glebovich,каф машиностроения,327522,Empty,57196258822,3267221,Empty,https://elibrary.ru/author_items.asp?authorid=327522,https://www.scopus.com/authid/detail.uri?authorId=57196258822,https://publons.com/researcher/3267221/evgeny-g-zlotnikov/,Empty,Empty,Empty
184,/ru/glossary/z/zubov_andrey_vladimirovich,каф инженерной геодезии,910257,7983-7040,Empty,AAC-9749-2019,0000-0002-1848-3405,http://elibrary.ru/author_items.asp?authorid=910257&pubrole=100&show_refs=1,Empty,https://publons.com/researcher/AAC-9749-2019/,https://orcid.org/0000-0002-1848-3405,https://www.researchgate.net/profile/Andrey_Zubov2,Empty
185,/ru/glossary/z/zubov_vladimir_pavlovich,каф разработки месторождений полезных ископаемых,328443,Empty,7101887960,Empty,Empty,http://elibrary.ru/author_profile.asp?id=328443,https://www.scopus.com/authid/detail.uri?origin=AuthorProfile&authorId=7101887960,Empty,Empty,Empty,Empty
186,/ru/glossary/z/zubova_tatyana_vitalevna,каф инженерной геодезии,910072,Empty,Empty,Empty,Empty,http://elibrary.ru/author_items.asp?authorid=910072,Empty,Empty,Empty,Empty,Empty
187,/ru/glossary/z/zyrin_vyacheslav_olegovich,каф электроэнергетики и электромеханики,724740,Empty,54891422200,Empty,Empty,http://elibrary.ru/author_items.asp?authorid=724740&pubrole=100&show_refs=1,https://www.scopus.com/authid/detail.uri?authorId=54891422200,Empty,Empty,Empty,Empty
188,/ru/glossary/z/zyryanova_olga_vladimirovna,каф химических технологий и переработки энергоносителей,906775,Empty,55702024500,AAF-9820-2019,0000-0001-7866-8543,http://elibrary.ru/author_items.asp?authorid=906775,https://www.scopus.com/authid/detail.uri?authorId=55702024500,https://publons.com/researcher/AAF-9820-2019/,https://orcid.org/0000-0001-7866-8543,https://www.researchgate.net/profile/O_Zyryanova,https://scholar.google.ru/citations?hl=ru&user=LxqNlfsAAAAJ&view_op=list_works&gmla=AJsN-F6W9gf4p3YbxPGrzcTjtpN45D7etGAEZVYm7-hfDd8F9-aqx9VAozDQfHue2iro-VmvxByU4vBcxK-bnFRql3meOwsvQZ_IE2Ao7oth1tYs0Qb8AbEy1QZMebwK-sTawBJ6DUSp
189,/ru/glossary/i/ivakin_valeriy_vasilevich,каф высшей математики,26742596,Empty,Empty,Empty,Empty,http://elibrary.ru/item.asp?id=26742596,http://elibrary.ru/item.asp?id=26742596,Empty,Empty,Empty,Empty
190,/ru/glossary/i/ivanik_svetlana_aleksandrovna,каф транспорта и хранения нефти и газа,907210,6079-9982,55809133600,3131590,0000-0003-3477-8382,http://elibrary.ru/author_items.asp?authorid=907210,https://www.scopus.com/authid/detail.uri?origin=AuthorProfile&authorId=55809133600,https://publons.com/researcher/3131590/svetlana-a-ivanik/,https://orcid.org/0000-0003-3477-8382,https://www.researchgate.net/profile/Svetlana_Ivanik,https://scholar.google.ru/citations?hl=ru&user=a-QrYKgAAAAJ
191,/ru/glossary/i/ivanov_sergey_leonidovich,каф машиностроения,615961,4430-7239,56673503800,3017921,0000-0002-7014-2464,https://elibrary.ru/author_items.asp?authorid=615961,https://www.scopus.com/authid/detail.uri?authorId=56673503800,https://publons.com/researcher/3017921/ivanov-sergey/,https://orcid.org/0000-0002-7014-2464,https://www.researchgate.net/profile/Sergey_Ivanov13,https://scholar.google.com/citations?view_op=list_works&hl=ru&user=a5ol1jwAAAAJ
192,/ru/glossary/i/ivanov_pavel_vladimirovich,каф автоматизации технологических процессов и производств,241689,Empty,56556036500,Empty,Empty,http://elibrary.ru/author_items.asp?authorid=241689,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56556036500&zone=,Empty,Empty,Empty,Empty
193,/ru/glossary/i/ivanov_mihail_vladimirovich,,613253,Empty,55415189400,Empty,Empty,http://elibrary.ru/author_profile.asp?authorid=613253,https://www.scopus.com/authid/detail.uri?origin=AuthorProfile&authorId=55415189400&zone=,Empty,Empty,Empty,Empty
194,/ru/glossary/i/ivanov_anton_igorevich,каф транспорта и хранения нефти и газа,800940,Empty,Empty,Empty,Empty,https://elibrary.ru/author_items.asp?authorid=800940,Empty,Empty,Empty,Empty,Empty
